,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_30,y_31,y_32,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_17,z_18,z_19,z_20,z_21,z_22,z_23,z_24,z_25,z_26,z_27,z_28,z_29,z_30,z_31,z_32
sub-148,0,0,0.49653,0,0.43591,13.87296,-13.86911,11.91803,-11.12827,0.78481,0.2915,2.8518,-2.46867,0.43384,18.32195,-17.232,20.48676,-20.01955,-0.44462,0.39713,40.75903,-40.99706,24.15444,-23.11248,27.54819,-29.35068,19.11395,-17.33181,20.86866,-19.97646,12.22253,-13.60102,12.65217,-12.65217,-22.78172,-9.04185,-3.24508,-14.64413,-14.81335,-18.27688,-18.42605,-34.73411,1.84744,1.79185,1.57816,-19.12422,13.11774,13.01259,-12.17039,-12.39789,41.72895,-21.30719,8.55855,9.4942,0.62653,1.03755,8.48615,10.57157,-26.20849,-26.98941,-58.77128,-56.11303,26.1319,24.8322,0,0,-8.18634,-16.79395,-6.87155,-6.81749,-6.763,-17.76865,-18.1436,-0.16217,-9.46695,-9.50364,-9.38285,0.9643,27.99052,28.09883,28.15765,27.59906,7.7478,5.60418,-21.02859,-22.3187,-10.46111,-11.24944,-23.72539,-24.10681,3.52293,3.07703,-2.89162,-3.69667,-7.2746,-7.48228
sub-149,0,0,0.0103,0,-0.04139,12.10965,-12.31279,10.43942,-11.55149,-0.30463,0.1594,2.64047,-2.39094,0.1865,18.70866,-17.79603,20.71888,-21.69891,0.14273,-0.55879,38.54451,-36.81509,20.69173,-23.21742,24.01447,-26.39666,15.70457,-18.91917,18.01321,-18.53015,13.20896,-15.13653,13.41359,-13.41359,-24.36018,-9.60294,-4.5672,-16.19375,-16.61017,-20.64039,-20.88148,-41.92512,1.58607,1.46009,1.29727,-18.88871,14.91161,14.98922,-13.91106,-13.62394,43.35939,-27.65774,5.63343,6.78027,-0.80898,-0.34269,6.3273,6.66536,-30.00604,-31.86022,-72.93531,-75.21495,29.38972,27.98804,0,0,-7.48041,-14.4673,-6.83115,-7.01361,-7.49994,-16.99882,-17.29312,-0.2529,-8.15195,-7.88494,-7.92141,2.31968,27.36384,27.5639,28.58968,29.07657,8.13662,5.80889,-22.64708,-22.0954,-14.1966,-13.2312,-24.66278,-23.70009,2.05789,1.74326,5.43753,2.23913,-9.05342,-8.34917
sub-150,0,0,-0.22968,0,0.23871,11.56772,-11.78395,11.14882,-12.06455,0.38841,0.13472,2.22091,-2.46929,0.20709,16.81256,-17.94575,18.91517,-18.55405,-0.09136,0.39072,31.41942,-34.94926,20.65981,-21.82034,21.13862,-24.76268,18.2534,-14.89187,23.24903,-17.96687,11.17555,-13.96198,13.6615,-13.6615,-23.20352,-6.93269,-4.22754,-17.01458,-16.22357,-17.02809,-16.77862,-38.40782,3.30817,3.41226,3.44103,-19.84902,14.89994,16.00379,-12.59953,-12.8362,41.75292,-24.35071,6.8582,8.34336,-0.72289,1.8532,6.12679,7.83615,-29.64617,-27.33532,-65.87687,-69.33907,28.20696,28.49629,0,0,-6.57021,-14.12341,-7.17565,-7.07455,-7.0186,-17.44223,-17.11527,0.19728,-9.02784,-8.99721,-8.95976,2.58777,27.82817,28.38287,27.02707,28.23058,7.88704,6.2307,-21.15459,-19.74057,-11.33089,-11.80703,-22.47846,-21.78292,1.87253,2.5175,-2.79633,-2.97485,-5.36222,-4.99844
sub-151,0,0,0.16221,0,-0.05989,12.96801,-12.02781,10.42291,-10.28339,-0.53059,-0.31702,2.73942,-3.84087,0.27102,19.28796,-20.72371,21.90419,-25.913,-0.01235,0.13879,36.39769,-36.66738,21.66701,-22.98086,20.45393,-22.07772,16.66409,-12.31442,22.63744,-19.14254,12.27966,-13.37826,12.62872,-12.62872,-22.48844,-9.0762,-4.50765,-13.56288,-13.04356,-18.16774,-18.52839,-40.5859,1.75467,1.61268,1.64356,-19.67541,13.56933,13.25277,-13.61105,-13.4379,46.48393,-26.88723,5.39944,6.10895,-0.52384,1.02482,4.68495,5.11808,-27.05741,-24.99943,-61.77487,-62.55122,25.70325,26.66902,0,0,-6.51003,-13.7582,-5.90208,-5.97392,-6.69018,-15.73035,-17.08388,1.18254,-7.8372,-7.9052,-7.93882,2.64731,31.62046,32.31317,33.44438,32.73878,6.20923,7.41429,-23.72898,-24.07647,-13.02631,-13.91417,-23.53914,-22.96028,2.45899,0.97464,2.58748,0.84059,-7.6751,-7.9753
sub-152,0,0,-0.1985,0,-0.13594,12.03117,-13.77644,10.30504,-11.6697,-0.88804,0.29086,2.83141,-2.77541,0.13458,16.64434,-17.57692,18.83645,-19.65986,-0.22258,-0.33439,36.3082,-34.48509,22.23314,-21.88086,26.75856,-23.86138,15.61018,-17.42138,21.50423,-17.69357,13.48243,-14.06435,12.31251,-12.31251,-22.88212,-9.01662,-3.17742,-14.39659,-14.62496,-19.41459,-19.30447,-39.25471,3.69817,4.01216,3.8341,-18.03971,16.27235,16.37126,-12.59649,-12.49012,44.00864,-26.3842,7.34644,5.11553,2.20905,0.42623,6.65246,3.98608,-25.74848,-28.62184,-59.73834,-65.23006,29.3562,29.47799,0,0,-8.47585,-14.71871,-6.50405,-5.82916,-6.87352,-16.85753,-17.57347,-5.3787,-6.66735,-6.51339,-6.47675,2.02442,26.79697,24.71864,27.62985,24.9967,8.10199,5.69311,-19.60757,-22.25566,-10.61925,-12.95765,-18.1382,-22.15613,2.20907,-0.67166,1.12478,-6.63009,-5.26666,-7.864
sub-153,0,0,0.2154,0,0.07125,10.2917,-11.34909,9.40125,-10.27611,0.0,0.05497,1.87353,-2.66254,0.16309,17.14486,-18.3784,18.57626,-19.65139,-0.89865,0.10056,31.24426,-30.57678,19.86885,-21.8181,21.80287,-24.40409,14.78954,-14.12088,21.8656,-16.98267,12.85201,-14.01472,14.12458,-14.12458,-24.54528,-9.50542,-3.9743,-17.1366,-18.11992,-20.70698,-20.0637,-40.25381,3.81248,4.41726,3.95006,-21.00059,15.49114,15.7074,-14.61369,-14.61826,41.96236,-25.96956,8.06942,3.92081,2.71115,1.26553,8.13018,5.33191,-28.29418,-31.64244,-71.98607,-77.03084,32.30932,29.85966,0,0,-6.66413,-14.01816,-6.84611,-7.12902,-7.10148,-15.99961,-16.73911,-0.80277,-9.3019,-9.15442,-9.28801,2.11449,27.77395,24.86797,26.79898,25.75038,10.01075,7.90248,-20.44956,-20.62332,-11.33162,-14.20602,-21.15291,-20.35755,4.9546,1.81462,0.79983,-3.37642,-5.13217,-6.1643
sub-156,0,0,-0.32666,0,-0.19742,12.22767,-12.12127,11.00189,-11.57423,0.52236,0.15149,2.69485,-2.32949,-0.38377,16.45508,-16.91539,19.83963,-18.43035,0.15988,0.21323,33.3796,-32.92579,24.26217,-24.34538,23.06592,-21.02725,18.47386,-14.63088,23.69314,-17.1016,11.79612,-13.48496,13.60477,-13.60477,-24.81317,-8.76104,-5.41292,-16.65347,-15.72957,-18.50871,-18.73026,-38.06053,3.31794,3.46454,3.1831,-19.03624,15.58762,15.91935,-14.56739,-13.55566,46.39129,-24.92648,5.92578,5.78727,1.66071,2.42974,7.12102,6.83928,-29.97052,-30.11159,-63.17911,-62.66538,29.4941,28.96245,0,0,-6.84964,-13.55897,-6.54099,-7.87592,-7.80692,-14.993,-16.93336,1.17402,-8.33487,-8.17896,-8.08052,1.83718,26.39747,27.01103,27.05433,27.68638,8.18746,5.8719,-22.74107,-20.98232,-13.55923,-12.89495,-21.8954,-19.56047,2.59586,1.76003,0.10772,-0.91197,-6.04824,-6.94705
sub-157,0,0,-0.18601,0,0.20935,10.87991,-11.39447,10.25361,-10.05226,0.0,0.49893,2.86484,-1.71845,-0.0633,14.8141,-15.37175,16.59764,-17.46737,0.68224,-0.04192,30.50462,-29.53143,18.83535,-22.37186,23.83212,-23.67985,14.60469,-12.99868,22.64516,-18.79658,11.95724,-13.4534,13.58638,-13.58638,-23.25737,-8.51588,-3.65665,-15.87007,-14.97534,-18.09508,-18.60876,-39.67985,3.65548,3.82438,3.80507,-19.99089,16.17823,16.81415,-10.8893,-12.66157,40.30492,-26.71502,4.8239,4.63768,0.95762,1.97391,6.63983,5.11635,-27.85119,-28.30957,-59.59599,-64.33182,28.00852,27.44174,0,0,-6.34623,-14.46082,-7.42758,-7.20585,-6.97,-16.43921,-16.24907,0.7812,-9.24439,-9.37708,-9.12392,1.7269,26.05799,26.9212,28.42409,29.46944,9.28117,5.46461,-16.2834,-18.10302,-11.17023,-11.96656,-20.35754,-20.5361,3.04521,2.49122,-3.06961,-9.26823,-5.16209,-6.85648
sub-158,0,0,-0.52839,0,0.05424,11.17248,-11.79512,9.79119,-9.90156,-0.38441,-0.40547,2.02579,-2.78963,-0.08162,15.3186,-13.84978,18.19447,-15.57741,0.74154,-0.11976,31.75227,-34.06878,18.70777,-18.90399,22.71961,-25.48925,14.1837,-14.52954,21.67585,-18.96148,12.00077,-13.34551,13.38038,-13.38038,-22.88802,-8.3192,-3.83367,-15.04795,-14.36145,-17.74276,-16.62189,-42.48783,2.64929,2.22771,2.51797,-18.94332,14.48727,16.06003,-13.15304,-13.26679,39.78756,-29.05541,2.65845,2.14385,0.10654,0.77301,3.35453,3.5086,-30.05117,-30.14126,-62.03157,-61.75988,24.89795,25.7275,0,0,-5.91009,-12.06106,-5.4023,-5.51516,-5.64988,-14.01817,-14.12732,-0.83483,-5.57883,-5.50459,-5.49301,1.7349,22.93483,23.6937,21.13233,21.59708,6.89054,2.55885,-17.41645,-14.69894,-10.29645,-10.43236,-17.42886,-16.40706,-0.1233,-0.05271,-1.21361,-3.24767,-5.63656,-7.00142
sub-161,0,0,0.40357,0,0.36119,12.6711,-12.13859,11.0734,-10.11223,0.64203,0.36265,3.14799,-2.42062,0.13305,17.12504,-17.26218,20.4611,-19.44056,-0.24135,0.65527,34.21214,-34.23825,22.19246,-20.86984,21.30894,-22.28613,17.45034,-17.55815,20.26626,-20.67263,10.37711,-12.81376,13.6855,-13.6855,-24.00861,-8.23377,-4.34818,-14.95978,-15.72138,-18.54289,-18.16445,-38.25785,3.96097,4.24984,3.61705,-20.44629,15.62074,15.29615,-14.42189,-13.79454,43.10112,-21.45374,6.02934,2.39155,2.40669,-0.46965,5.81319,5.20726,-25.47232,-26.70516,-59.49972,-62.39129,28.24487,26.66532,0,0,-6.30253,-12.25975,-6.23041,-6.65579,-6.43776,-14.9711,-14.38819,4.43593,-6.82133,-6.89959,-6.60408,2.07091,26.37469,26.25429,24.87294,24.79928,4.98778,6.66083,-19.81462,-18.65452,-11.23389,-11.54484,-22.50856,-23.48594,2.6489,0.99574,3.34592,0.83096,-6.08604,-7.73168
sub-162,0,0,-0.11853,0,-0.06323,11.74684,-10.67124,10.17231,-9.81385,0.0,-0.03535,1.61748,-1.77132,-0.01188,11.83213,-10.70724,17.24016,-16.28335,-0.34228,0.0,32.1694,-33.32871,20.23279,-21.45566,19.91331,-23.65756,16.84854,-16.22974,19.08693,-19.46562,9.77664,-12.10895,12.1199,-12.1199,-21.63884,-5.72518,-2.33121,-12.97394,-12.47402,-14.58166,-14.9861,-35.28166,3.97507,3.84131,3.79518,-17.83794,13.72656,13.75298,-11.86098,-11.64184,41.87234,-17.87723,8.87048,8.06709,1.49646,1.9813,9.13591,9.02936,-26.31939,-25.86228,-59.46523,-53.38067,26.54011,26.55736,0,0,-7.02523,-13.51199,-7.44396,-7.29766,-7.60486,-16.80938,-16.73315,0.82476,-8.63655,-8.43776,-8.46093,1.92648,22.40769,22.01348,22.38868,22.16367,10.10622,5.31976,-17.43877,-17.2374,-11.06564,-9.80991,-19.12124,-18.71165,3.11004,2.88828,-3.14559,0.39358,-4.20427,-5.08954
sub-163,0,0,-0.14044,0,-0.17677,10.94451,-11.27967,10.60003,-10.68147,-0.27687,0.0,1.79782,-1.72531,0.36061,12.67492,-15.4957,17.78952,-18.49445,-0.0732,-0.0861,34.30952,-33.74666,18.54421,-21.55743,20.22199,-20.5991,14.23431,-13.75631,15.71065,-19.4217,10.67765,-12.74051,13.33078,-13.33078,-24.95741,-8.93299,-3.58543,-15.26688,-15.54864,-18.41976,-18.97359,-41.01998,2.30724,2.41217,2.54442,-20.19724,13.31612,13.9701,-14.72202,-14.30461,40.98515,-25.7232,7.71045,5.02942,1.48828,1.94965,6.79771,6.29942,-27.18931,-28.81107,-63.15381,-65.01965,27.94701,27.85548,0,0,-8.21676,-13.86114,-7.12617,-8.59684,-8.98714,-17.41059,-17.13094,-0.69112,-8.63417,-8.80058,-8.83437,1.43569,24.8488,25.9544,26.35403,26.85272,9.46222,5.09495,-20.03967,-20.12201,-11.67606,-13.26456,-20.73988,-21.38926,1.6629,0.30886,1.43076,0.0187,-7.36186,-7.79743
sub-168,0,0,-0.0361,0,-0.14561,10.28841,-11.94485,10.38248,-10.35383,-0.36597,-0.10689,1.98591,-2.5049,-0.27659,13.75602,-14.54769,15.00929,-16.186,-0.42742,-0.25647,28.97906,-27.58359,14.98049,-17.30881,16.98979,-18.91172,12.87055,-14.93407,15.82995,-16.4034,11.57665,-12.09368,13.77363,-13.77363,-24.35136,-8.58729,-2.92103,-15.53157,-15.69761,-18.05047,-18.10621,-38.67142,4.64036,4.91649,4.48526,-21.33308,13.96047,14.33509,-14.14994,-14.42244,42.67509,-25.44671,7.77086,5.75666,3.97314,2.23671,8.39952,7.2853,-30.04559,-32.54431,-66.46379,-67.42253,29.0524,29.9035,0,0,-8.09256,-14.93279,-6.36024,-6.83776,-7.15489,-18.95243,-18.76925,0.03785,-8.70588,-8.54609,-8.49862,1.79495,27.87522,27.05798,30.19446,28.45422,9.60478,6.72945,-18.53434,-19.2919,-10.38629,-10.75597,-19.19866,-19.82936,6.10545,3.28164,-1.90297,0.0,-5.19524,-5.29496
sub-C001,0,0,0.09183,0,0.06511,12.24723,-12.79913,9.95165,-10.21202,-0.0831,0.10809,1.96318,-1.85028,0.39876,16.54652,-14.3446,20.65104,-18.30438,0.2838,0.48842,36.19775,-35.86629,17.92778,-18.53244,21.04423,-20.18293,20.94549,-23.55548,18.4074,-22.79565,11.78519,-12.61616,13.25923,-13.25923,-25.75814,-15.87008,-2.57734,-13.89326,-15.26595,-18.62385,-18.94366,-39.43824,2.51886,2.45118,2.15499,-18.031,13.77539,14.03094,-12.95793,-13.10316,45.70876,-22.46595,6.70359,3.88591,0.59174,-1.68325,6.40705,5.52225,-26.67332,-29.24769,-66.73366,-67.32816,24.84366,23.57376,0,0,-7.63595,-18.12624,-5.89543,-6.15574,-6.82894,-15.9734,-16.71192,1.30705,-8.39205,-8.05452,-8.11204,2.03707,24.65166,23.52302,23.97373,24.16941,3.61528,6.74954,-24.70226,-19.9033,-13.95325,-13.9626,-25.06297,-22.25975,3.35063,1.45809,3.42546,3.51707,-8.58869,-9.07732
sub-C002,0,0,-0.08451,0,-0.06349,11.23464,-11.1713,10.32108,-9.37248,-0.70713,-0.19655,1.72792,-2.11891,-0.59802,14.80512,-13.71415,17.5522,-18.70098,-0.69526,0.0,29.60337,-32.46456,12.72396,-15.91708,18.17191,-19.62989,19.95051,-17.35194,16.88743,-19.20993,11.14563,-11.15192,12.95297,-12.95297,-24.09933,-11.59305,-1.92676,-13.67632,-13.96331,-19.32268,-19.75754,-35.10759,3.07779,3.71815,3.00816,-18.73183,12.97055,12.65861,-14.20761,-14.20892,39.73623,-22.94175,10.6558,7.48193,4.40669,0.88181,10.65689,7.53768,-28.29898,-28.93064,-64.56026,-66.18582,30.24152,28.03416,0,0,-7.43879,-16.62802,-6.78201,-5.93488,-6.64938,-17.522,-17.66662,2.50401,-9.44738,-9.52985,-9.55451,2.71674,25.53416,25.45564,24.79121,26.31134,10.42071,5.94248,-21.70995,-19.33012,-12.97188,-12.60569,-22.69434,-22.42043,4.80929,5.29754,2.9627,3.48072,-4.53248,-5.95355
